Temperature (C),Humidity (%),Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Mag X,Mag Y,Mag Z,Distance (cm)
24.4,61.7,-3568,-16320,2424,5643,2279,2488,-37,-209,-124,2.32
24.4,61.8,-5072,-14208,9928,-6142,-1114,-868,-31,-196,-79,2.33
24.5,61.9,-1576,-17064,3008,-2531,556,513,-54,-187,-161,2.32
24.5,62.1,-2376,-15080,7600,-2601,-784,4198,-23,-229,-113,2.31
24.5,62.1,-3704,-16328,1720,-5258,102,1029,14,-173,-326,2.32
24.5,62.2,-5712,-14280,7144,429,2257,-4578,-2,-202,-148,2.32
24.5,62.2,15960,-6472,7088,-5689,-9515,15539,-141,-117,-99,2.32
24.6,62.3,5424,-7032,-14456,-646,-7276,5193,-97,-110,-243,2.31
24.5,62.3,264,-1640,-15504,-20252,824,464,-55,-108,-243,2.32
24.6,62.2,208,-464,-15936,-2754,8,-749,-73,-107,-282,2.33
24.6,62.2,-240,-616,-16152,-431,-58,-152,-53,-113,-264,2.32
24.6,62.2,-272,-2472,-15960,-53,-60,149,-47,-109,-268,2.32
24.6,62.1,72,-2808,-16208,-89,-365,273,-67,-106,-274,2.32
24.6,61.8,24,-2648,-16144,-25,323,-294,-67,-98,-271,2.33
24.7,61.3,-224,-2648,-16152,93,-152,-155,-69,-101,-276,2.33
24.7,60.9,-96,-2608,-15904,63,-311,-31,-66,-102,-265,2.32
24.7,60.5,-224,-2664,-16176,-36,131,-433,-68,-102,-256,2.32
24.7,60.3,-104,-2752,-16064,-100,-208,328,-63,-87,-265,2.32
24.7,60.3,24,-2472,-16008,-61,132,51,-70,-99,-256,2.33
24.7,60.2,-104,-2880,-16064,35,-33,214,-71,-98,-262,2.32
24.7,60.3,-48,-2656,-16000,-471,44,-105,-55,-93,-267,2.32
24.7,60.5,-24,-2784,-15896,-477,464,-245,-71,-98,-264,2.32
24.8,60.7,-136,-2664,-15768,-296,131,-309,-74,-93,-257,2.33
24.8,61.2,-80,-2712,-15928,-346,98,-263,-66,-97,-265,2.32
24.8,61.7,-88,-2728,-16168,-246,333,-121,-70,-90,-275,2.32
24.8,62.2,-216,-2680,-16120,185,-177,-163,-60,-103,-271,2.32
24.8,62.4,-208,-2712,-15904,1,-389,-149,-62,-113,-274,2.33
24.8,62.6,-168,-2920,-16048,-203,-70,-668,-68,-112,-268,2.33
24.8,62.7,-128,-2688,-16064,145,48,-189,-64,-110,-285,2.31
24.8,62.9,32,-2816,-15832,-181,84,-249,-62,-106,-274,2.32
24.8,63.1,-256,-2960,-15984,-6,172,-153,-61,-109,-275,2.33
24.9,63.3,-240,-2824,-16264,-322,80,-26,-61,-90,-270,2.31
24.9,63.5,32,-2784,-16000,276,-26,271,-58,-107,-272,2.33
24.9,63.2,-104,-2680,-16032,-104,-50,312,-61,-114,-275,2.32
24.9,62.6,-136,-2568,-16016,-78,-50,-509,-64,-106,-269,2.32
24.9,61.8,-128,-2720,-15960,-86,-295,183,-62,-96,-278,2.32
24.9,62,-112,-2816,-16032,471,-67,243,-63,-112,-272,2.32
24.9,61.9,-72,-2832,-15840,26,49,-256,-60,-106,-257,2.32
25,61.5,-40,-2960,-15808,263,-240,-60,-60,-103,-257,2.32
25,61,-168,-2840,-15864,-282,111,-350,-67,-106,-255,2.32
25,60.7,-104,-2872,-16224,4,569,-585,-61,-99,-265,2.32
25,60.4,-136,-2800,-15952,130,78,-209,-61,-107,-263,2.32
25,60.3,-104,-2792,-16096,-107,-210,-407,-62,-101,-260,2.31
25,60.3,-152,-2840,-16272,15,-155,235,-67,-96,-257,2.32
25,60.4,-168,-2840,-15992,-249,383,-595,-67,-96,-253,2.32
25,60.3,-224,-2864,-16032,-143,287,-537,-64,-93,-253,2.31
25,60.1,-136,-2680,-16096,184,50,-16,-62,-91,-250,2.33
25.1,60,-56,-2704,-15992,209,-284,309,-61,-90,-252,2.32
25.1,60.1,-48,-2824,-16280,163,-8,256,-62,-93,-250,2.33
25.1,60.2,-136,-2824,-15712,-191,149,-147,-56,-99,-261,2.32
25.1,60.6,-392,-2632,-15968,-92,-140,-35,-100,-88,-234,2.32
25.1,61.3,-144,-2728,-16184,44,-224,-554,-104,-67,-260,2.33
25.1,61.6,-88,-2664,-16048,386,-189,208,-68,-43,-259,2.32
25.1,62,-24,-2992,-15968,-27,98,-49,-66,-46,-261,2.32
25.1,62.2,-168,-2832,-16208,170,159,178,-76,-45,-271,2.32
25.1,62.7,-280,-2648,-16008,-228,-114,-121,-70,-46,-265,2.33
25.2,62.9,-16,-2608,-16104,-141,156,-546,-84,-43,-261,2.32
25.2,63.1,-224,-2936,-16104,81,-529,365,-71,-32,-274,2.32
25.2,63.2,-304,-2832,-16008,-43,135,-250,-63,-39,-272,2.32
25.2,63.4,-168,-2632,-15144,-369,68,42,-67,-35,-304,2.32
25.2,63.5,-184,-2880,-16672,-488,26,-280,-44,12,-298,2.32
25.2,63.8,-80,-2920,-16240,-184,-223,-244,-2,-12,-302,2.32
25.3,64.2,-128,-2776,-15784,-87,-21,-195,8,-30,-304,2.33
25.3,64.5,-240,-2984,-16032,0,-57,-243,2,-21,-291,2.31
25.3,64.9,8,-2760,-15944,-431,50,-416,5,-32,-301,2.32
25.3,65.1,-160,-2840,-15952,-69,-92,-623,4,-26,-305,2.32
25.3,65.2,-32,-2808,-16024,77,180,217,4,-26,-300,2.32
25.3,65.2,-304,-2816,-15912,88,-62,219,4,-29,-291,2.32
25.3,65.4,-200,-2920,-15832,-8,274,-475,15,-30,-297,2.33
25.4,65.5,-56,-2992,-16160,-71,126,-541,12,-18,-304,2.32
25.4,65.5,-16,-2936,-15880,-257,193,65,-7,-31,-302,2.32
25.4,65.6,-232,-2648,-15920,182,-110,-66,-7,-9,-289,2.32
25.4,65.6,-168,-2968,-16016,-333,141,-576,-8,-18,-299,2.33
25.4,65.7,-168,-2832,-16376,476,6,-71,-12,-20,-299,2.32
25.4,65.7,48,-2936,-16192,29,132,-127,-14,-17,-305,2.32
25.4,65.8,136,-2824,-16168,-17,107,-174,-2,-9,-312,2.31
25.5,65.8,-8,-3008,-17128,-30,84,-159,-9,-12,-300,2.32
25.5,65.8,-72,-3160,-15832,-379,90,-363,-83,-45,-315,2.32
25.5,65.7,24,-2744,-15688,-58,126,198,-61,-43,-279,2.32
25.5,65.8,-152,-2776,-16024,192,-393,-78,-63,-46,-277,2.32
25.5,65.7,-160,-2696,-15808,7,65,-304,-62,-47,-271,2.31
25.5,65.6,-144,-2984,-16384,-21,13,-140,-76,-45,-271,2.32
25.5,65.6,-144,-2928,-16056,172,-119,440,-74,-49,-264,2.32
25.6,65.6,-192,-2824,-16040,-201,211,-262,-74,-57,-271,2.32
25.6,65.6,-88,-2912,-15792,56,-134,46,-70,-48,-272,2.33
25.6,65.5,-176,-2872,-16176,-172,181,-351,-68,-39,-272,2.32
25.6,65.6,-136,-2864,-15976,567,-187,158,-66,-46,-270,2.32
25.6,65.5,-296,-3104,-16632,114,-167,87,-109,-54,-271,2.33
25.6,65.5,-184,-2744,-15392,-294,322,-132,-36,-84,-269,2.32
25.6,65.6,-288,-2736,-15976,281,99,-14,-34,-88,-292,2.32
