temperature,tiltState,digitalVibrationState,soundState,analogVibration,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label,cluster
29.38,1,0,1,871.0,0.19,-0.01,-1.05,-0.34,-1.65,0.05,0,1
29.38,1,0,1,871.0,0.19,-0.01,-1.06,-0.13,-1.56,0.18,0,1
29.24,1,0,1,871.0,0.19,-0.01,-1.05,-0.22,-1.44,0.13,0,1
29.38,1,0,1,871.0,0.19,-0.01,-1.05,-0.24,-1.37,0.11,0,1
29.38,1,0,1,871.0,0.19,-0.01,-1.06,-0.22,-1.73,0.19,0,1
29.33,1,0,1,871.0,0.19,-0.01,-1.06,-0.11,-1.5,-0.05,0,1
29.42,1,0,1,871.0,0.19,-0.01,-1.05,-0.34,-1.6,0.2,0,1
29.28,1,0,1,871.0,0.17,-0.03,-1.06,-0.27,-1.58,0.27,0,1
29.47,1,0,1,871.0,0.19,0.0,-1.05,-0.34,-1.35,0.03,0,1
29.33,1,0,1,871.0,0.19,-0.03,-1.13,0.08,-1.51,0.18,0,1
29.38,1,0,1,871.0,0.17,-0.01,-0.89,-0.44,-1.36,0.05,0,1
29.47,1,0,1,871.0,0.17,-0.02,-0.91,0.08,-1.45,0.03,0,1
29.42,1,0,1,871.0,0.25,-0.02,-1.48,-0.3,-1.76,0.15,0,1
29.33,1,0,1,871.0,0.19,0.0,-1.03,-0.53,-1.79,0.18,0,1
29.38,1,0,1,871.0,0.19,-0.01,-1.06,-0.25,-1.69,0.19,0,1
29.38,1,0,1,871.0,0.19,-0.01,-1.05,-0.13,-1.64,0.11,0,1
29.42,1,0,1,871.0,0.19,-0.01,-1.05,-0.37,-1.47,0.14,0,1
29.47,1,0,1,871.0,0.19,-0.01,-1.05,-0.34,-1.66,0.13,0,1
29.28,1,0,1,871.0,0.19,-0.01,-1.06,-0.32,-1.64,0.11,0,1
29.38,1,0,1,871.0,0.19,-0.02,-1.06,-0.23,-1.75,0.08,0,1
29.33,1,0,1,871.0,0.19,-0.01,-1.06,-0.12,-1.71,0.22,0,1
29.38,1,0,1,871.0,0.19,-0.01,-1.05,-0.22,-1.63,0.22,0,1
29.38,1,0,1,871.0,0.19,-0.01,-1.05,-0.22,-1.56,0.03,0,1
29.42,1,0,1,871.0,0.21,-0.1,-1.41,-0.4,-1.27,0.14,0,1
29.28,1,0,1,871.0,0.19,0.06,-0.75,-1.0,-1.53,0.31,0,1
29.38,1,0,1,871.0,0.19,-0.01,-1.06,-0.25,-1.56,0.15,0,1
29.38,1,0,1,871.0,0.19,0.0,-1.05,-0.54,-1.35,0.08,0,1
29.24,1,0,1,871.0,0.18,-0.03,-1.06,-0.02,-1.66,0.05,0,1
29.28,1,0,1,871.0,0.17,0.0,-0.9,-0.6,-1.63,0.03,0,1
29.38,1,1,1,870.0,0.18,-0.01,-0.92,-0.53,-1.66,0.15,0,2
29.33,1,0,1,871.0,0.18,0.0,-0.95,0.01,-1.92,0.38,0,1
29.38,1,0,1,871.0,0.18,-0.01,-0.98,-0.09,-1.48,0.23,0,1
29.28,1,0,1,871.0,0.2,0.0,-1.05,-0.09,-1.4,0.15,0,1
29.42,1,0,1,871.0,0.21,-0.01,-1.19,-0.09,-1.66,0.13,0,1
29.33,1,0,1,871.0,0.2,-0.01,-1.15,-0.46,-1.71,0.02,0,1
29.38,1,0,1,871.0,0.19,-0.01,-1.03,-0.4,-1.7,0.16,0,1
