temperature,tiltState,digitalVibrationState,soundState,analogVibration,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
26.51,1,0,1,740,0.13,0,-1.06,0.24,-2.56,0.31,1
26.65,1,0,1,742,0.06,-0.14,-1.04,-2.91,0.25,-0.1,1
26.65,1,0,1,742,0.13,0.03,-1.06,0.86,-2.95,0.21,1
26.65,1,0,1,740,0.02,-0.16,-1.02,-2.37,1.02,0.02,1
26.6,1,0,1,735,0.13,0.05,-1.1,1.56,-2.5,0.44,1
26.6,1,0,1,736,0.05,-0.18,-1.03,-3.23,0.7,0.1,1
26.65,1,0,1,738,0.17,0.02,-1.06,2.16,-2.34,0.36,1
26.65,1,0,1,742,0.11,-0.19,-1.01,-5.21,-0.6,-0.27,1
26.55,1,0,1,736,0.21,0.07,-1.03,-1.99,-4.44,0.46,1
26.65,1,0,1,733,0.11,-0.24,-1.78,4.27,1.89,-0.34,1
26.55,1,0,1,733,0.12,0.09,-0.49,-7.58,-5.11,1.18,1
26.65,1,0,1,739,-0.01,-0.06,-0.38,-15.92,-2.57,2.08,1
26.6,1,0,1,745,0.09,-0.02,-0.83,23.76,5.75,-1.68,1
26.6,1,0,1,734,0.09,-0.04,-0.93,-1.46,-1.71,0.09,1
26.69,1,0,1,734,0.09,-0.05,-0.88,-2.63,-2.04,0.18,1
26.69,1,0,1,733,0.09,-0.04,-0.93,-1.26,-1.47,0.24,1
26.69,1,0,1,733,0.09,-0.06,-0.91,-1.13,-0.86,0.29,1
26.69,1,0,1,734,0.09,-0.05,-0.95,0.16,-1.08,0.04,1
26.6,1,0,1,736,0.09,-0.06,-0.96,0.17,-1.37,0.31,1
26.51,1,0,1,736,0.09,-0.05,-1.01,0.37,-0.84,0.1,1
26.65,1,0,1,734,0.1,-0.07,-1.19,-0.05,-1.18,0.2,1
26.6,1,0,1,733,0.1,-0.06,-1.15,-0.29,-1.11,0.15,1
26.65,1,0,1,733,0.09,-0.06,-1.02,-0.72,-1.05,0.15,1
26.69,1,0,1,733,0.09,-0.06,-1.04,-0.63,-1.23,0.17,1
26.65,1,0,1,735,0.09,-0.06,-1.04,-0.49,-0.95,0.12,1
26.69,1,0,1,733,0.09,-0.06,-1.04,-0.52,-1.24,0.08,1
26.74,1,0,1,732,0.09,-0.06,-1.02,-0.4,-1.08,0.31,1
26.69,1,0,1,732,0.1,-0.05,-1.05,-0.57,-1.3,0.03,1
26.74,1,0,1,732,0.09,-0.07,-1.06,-0.35,-1.11,-0.05,1
26.65,1,0,1,731,0.09,-0.06,-1.05,-0.28,-1.15,0.24,1
26.74,1,0,1,733,0.08,-0.06,-1.05,-0.2,-1.01,0.12,1
26.74,1,0,1,731,0.1,-0.06,-1.05,-0.51,-1.14,0.18,1
26.74,1,0,1,733,0.08,-0.07,-1.05,-0.21,-1.2,0.18,1
26.74,1,0,1,733,0.1,-0.05,-1.05,-0.66,-1.24,0.12,1
26.84,1,0,1,735,0.09,-0.07,-1.05,-0.27,-1.28,0.17,1
26.74,1,0,1,732,0.1,-0.06,-1.04,-0.69,-0.96,0.12,1
26.74,1,0,1,733,0.09,-0.07,-1.05,-0.18,-1.18,0.23,1
26.74,1,0,1,732,0.09,-0.05,-1.04,-0.76,-0.98,0.1,1
26.74,1,0,1,733,0.09,-0.06,-1.05,-0.31,-1.07,0.24,1
26.74,1,0,1,732,0.1,-0.06,-1.04,-0.65,-1.11,0.19,1
26.74,1,0,1,733,0.09,-0.06,-1.05,-0.12,-1.15,0.02,1
26.74,1,0,1,732,0.1,-0.05,-1.04,-0.88,-0.79,0.24,1
26.74,1,0,1,733,0.1,-0.06,-1.05,0.05,-1.46,0.1,1
